year;n;name;tipo
1-Jun-20;1401;Cataluna;Tráfico de drogas 
1-Sep-20;319;Cataluna;Agresión sexual con penetración 
1-Sep-20;43;Cataluna;Homicidios dolosos y asesinatos consumados 
1-Sep-20;86559;Cataluna;Hurtos 
1-Sep-20;19204;Cataluna;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Sep-20;13737;Cataluna;Robos con violencia e intimidación 
1-Sep-20;3;Cataluna;Secuestro 
1-Sep-20;4719;Cataluna;Sustracciones de vehículos 
1-Sep-20;216;Cataluna;Tráfico de drogas 
1-Dec-20;387;Cataluna;Agresión sexual con penetración 
1-Dec-20;48;Cataluna;Homicidios dolosos y asesinatos consumados 
1-Dec-20;110685;Cataluna;Hurtos 
1-Dec-20;24907;Cataluna;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Dec-20;17082;Cataluna;Robos con violencia e intimidación 
1-Dec-20;3;Cataluna;Secuestro 
1-Dec-20;613;Cataluna;Sustracciones de vehículos 
1-Dec-20;2946;Cataluna;Tráfico de drogas 
1-Mar-21;119;Cataluna;Agresión sexual con penetración 
1-Mar-21;14;Cataluna;Homicidios dolosos y asesinatos consumados 
1-Mar-21;22363;Cataluna;Hurtos 
1-Mar-21;5165;Cataluna;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Mar-21;4233;Cataluna;Robos con violencia e intimidación 
1-Mar-21;2;Cataluna;Secuestro 
1-Mar-21;1198;Cataluna;Sustracciones de vehículos 
1-Mar-21;902;Cataluna;Tráfico de drogas 
1-Jun-21;265;Cataluna;Agresión sexual con penetración 
1-Jun-21;26;Cataluna;Homicidios dolosos y asesinatos consumados 
1-Jun-21;50053;Cataluna;Hurtos 
1-Jun-21;10131;Cataluna;Robos con fuerza en domicilios  establecimientos y otras instalaciones
1-Jun-21;8858;Cataluna;Robos con violencia e intimidación 
1-Jun-21;5;Cataluna;Secuestro 
1-Jun-21;2749;Cataluna;Sustracciones de vehículos 
1-Jun-21;1874;Cataluna;Tráfico de drogas 
1-Sep-21;462;Cataluna;Agresión sexual con penetración 
1-Sep-21;39;Cataluna;Homicidios dolosos y asesinatos consumados 
1-Sep-21;83899;Cataluna;Hurtos 
1-Sep-21;16096;Cataluna;Robos con fuerza en domicilios  establecimientos y otras instalaciones
